Method	Drug	Size	Recall	Precision	Accuracy	Fscore	Specificity	tp	fp	tn	fn	un
tb_profiler	Ethionamide	r1000000	0.942857142857143	0.673469387755102	0.769230769230769	0.785714285714286	0.627906976744186	33	16	27	2	0
tb_profiler	Ethionamide	r5000	0	1	0.551282051282051	0	1	0	0	43	35	0
tb_profiler	Ethionamide	r50000	0.411764705882353	0.636363636363636	0.631578947368421	0.5	0.80952380952381	14	8	34	20	0
tb_profiler	Ethionamide	r500000	0.885714285714286	0.659574468085106	0.743589743589744	0.75609756097561	0.627906976744186	31	16	27	4	0
tb_profiler	Isoniazid	r1000	0.0202247191011236	1	0.62381363244176	0.039647577092511	1	9	0	714	436	0
tb_profiler	Isoniazid	r10000	0.115124153498871	0.980769230769231	0.660328435609335	0.206060606060606	0.99859943977591	51	1	713	392	0
tb_profiler	Isoniazid	r100000	0.653846153846154	0.941368078175896	0.851819757365685	0.771695594125501	0.974719101123595	289	18	694	153	0
tb_profiler	Isoniazid	r1000000	0.956916099773243	0.967889908256881	0.971428571428571	0.962371721778791	0.980392156862745	422	14	700	19	0
tb_profiler	Isoniazid	r5000	0.0651685393258427	0.966666666666667	0.640207075064711	0.122105263157895	0.99859943977591	29	1	713	416	0
tb_profiler	Isoniazid	r50000	0.376417233560091	0.927374301675978	0.75021682567216	0.535483870967742	0.981741573033708	166	13	699	275	0
tb_profiler	Isoniazid	r500000	0.947845804988662	0.958715596330275	0.964502164502165	0.953249714937286	0.974789915966387	418	18	696	23	0
tb_profiler	Kanamycin	r1000	0.0232558139534884	1	0.732484076433121	0.0454545454545454	1	1	0	114	42	0
tb_profiler	Kanamycin	r10000	0.0697674418604651	1	0.745222929936306	0.130434782608696	1	3	0	114	40	0
tb_profiler	Kanamycin	r100000	0.558139534883721	1	0.878205128205128	0.716417910447761	1	24	0	113	19	0
tb_profiler	Kanamycin	r1000000	0.883720930232558	1	0.968152866242038	0.938271604938272	1	38	0	114	5	0
tb_profiler	Kanamycin	r5000	0.0232558139534884	1	0.732484076433121	0.0454545454545454	1	1	0	114	42	0
tb_profiler	Kanamycin	r50000	0.325581395348837	1	0.814102564102564	0.491228070175439	1	14	0	113	29	0
tb_profiler	Kanamycin	r500000	0.86046511627907	1	0.961783439490446	0.925	1	37	0	114	6	0
tb_profiler	Linezolid	r1000	0	1	1	0	1	0	0	4	0	0
tb_profiler	Linezolid	r10000	0	1	1	0	1	0	0	4	0	0
tb_profiler	Linezolid	r100000	0	1	1	0	1	0	0	4	0	0
tb_profiler	Linezolid	r1000000	0	1	1	0	1	0	0	4	0	0
tb_profiler	Linezolid	r5000	0	1	1	0	1	0	0	4	0	0
tb_profiler	Linezolid	r50000	0	1	1	0	1	0	0	4	0	0
